Cast,Role,Birthday
Alfie Allen,Theon Greyjoy,1986/9/12
Jacob Basil Anderson,Grey Worm,1990/6/18
John Bradley,Samwell Tarly,1988/4/1
Jim Broadbent,Archmaester Ebrose,1949/5/24
Gwedolyn Christie,Brienne of Tarth,1978/10/28
Emilia Clarke,Daenerys Targaryen,1986/10/23
Nikolaj Coster-Waldau,Jaime Lannister,1970/7/27
Liam Cunningham,Davos Seaworth,1961/6/2
Peter Dinklage,Tyrion Lannister,1969/6/11
Nathalie Emmanuel,Missandei,1989/3/2
James Faulkner,Randyll Tarly,1948/7/18
Jerome Flynn,Bronn,1963/3/16
Mark Gatiss,Tycho Nestoris,1966/10/17
Aidan Gillen,"Petyr ""Littlefinger"" Baelish",1968/4/24
Iain Glen,Ser Jorah Mormont,1961/6/24
Kit Harrington ,Jon Snow,1986/12/26
Lena Heady,Cersei Lannister,1973/10/3
Isaac Hempstead Wright,Bran Stark,1999/4/9
Conleth Hill,Lord Varys,1964/11/24
Kristofer Hivju,Tormund Giantsbane,1978/12/7
Michiel Huisman,Daario Naharis,1981/7/18
Ellie Kendrick,Meera Reed,1990/6/6
Rosabell Laurenti Sellers,Tyene Sand,1996/3/27
Anton Lesser,Qyburn,1952/2/14
Rory McCann,Sandor Clegane,1969/4/24
Hannah Murray,Gilly,1989/7/1
Daniel Portman,Podrick Payne,1992/2/13
Diana Rigg,Lady Olenna Tyrell,1938/7/30
Sophie Turner,Sansa Stark,1996/2/21
Carice van Houten,Melisandre,1976/9/5
Indira Varma,Ellaria Sand,1973/9/27
Gemma Whelan,Yara Greyjoy,1981/4/23
Ian Whyte,Ser Gregor Clegane,1971/9/17
Masie Williams,Arya Stark,1997/4/15
Tom Wlaschiha,Jaqen H'ghar,1973/6/20
